Thread  	Address                 	Instruction                     	Result                                  	
000022D8	libc.so.6:psiginfo+280F 	jmp     loc_F7D516CC            	                                        	
000022D8	libc.so.6:loc_F7D516CC  	movzx   eax, byte ptr [ebx]     	EAX=00000000                            	
000022D8	libc.so.6:psiginfo+86F  	test    al, al                  	PF=1 ZF=1                               	
000022D8	libc.so.6:psiginfo+871  	jnz     loc_F7D51631            	                                        	
000022D8	libc.so.6:psiginfo+877  	mov     eax, [ebp-5ACh]         	                                        	
000022D8	libc.so.6:psiginfo+87D  	test    eax, eax                	                                        	
000022D8	libc.so.6:psiginfo+87F  	jz      loc_F7D519B0            	                                        	
000022D8	libc.so.6:loc_F7D519B0  	mov     eax, [ebp-5C0h]         	EAX=F7F22620                            	
000022D8	libc.so.6:psiginfo+B56  	mov     esi, [eax]              	ESI=FBAD2288                            	
000022D8	libc.so.6:psiginfo+B58  	mov     [ebp-5A0h], esi         	                                        	
000022D8	libc.so.6:psiginfo+B5E  	and     esi, 8000h              	ESI=00000000                            	
000022D8	libc.so.6:psiginfo+B64  	jnz     short loc_F7D519E6      	                                        	
000022D8	libc.so.6:psiginfo+B66  	mov     edx, [eax+48h]          	EDX=F7F239C0                            	
000022D8	libc.so.6:psiginfo+B69  	mov     eax, [edx+4]            	EAX=00000001                            	
000022D8	libc.so.6:psiginfo+B6C  	sub     eax, 1                  	EAX=00000000                            	
000022D8	libc.so.6:psiginfo+B6F  	mov     [edx+4], eax            	                                        	
000022D8	libc.so.6:psiginfo+B72  	jnz     short loc_F7D519E6      	                                        	
000022D8	libc.so.6:psiginfo+B74  	mov     dword ptr [edx+8], 0    	                                        	
000022D8	libc.so.6:psiginfo+B7B  	xchg    eax, [edx]              	EAX=00000001                            	
000022D8	libc.so.6:psiginfo+B7D  	cmp     eax, 1                  	                                        	
000022D8	libc.so.6:psiginfo+B80  	jg      loc_F7D53EED            	                                        	
000022D8	libc.so.6:loc_F7D519E6  	sub     esp, 0Ch                	ESP=FF9AACC4 PF=0 AF=1 ZF=0 SF=1        	
000022D8	libc.so.6:psiginfo+B89  	push    dword ptr [ebp-600h]    	ESP=FF9AACC0                            	
000022D8	libc.so.6:psiginfo+B8F  	call    near ptr unk_F7D7B150   	ESP=FF9AACBC                            	
000022D8	libc.so.6:unk_F7D7B150  	endbr32                         	                                        	
000022D8	libc.so.6:__nptl_death_event+414	mov     eax, [esp+4]            	EAX=FF9AAD84                            	
000022D8	libc.so.6:__nptl_death_event+418	mov     edx, [eax+0Ch]          	EDX=00000000                            	
000022D8	libc.so.6:__nptl_death_event+41B	mov     large gs:7Ch, edx       	                                        	
000022D8	libc.so.6:__nptl_death_event+422	mov     eax, [eax+8]            	EAX=00000000                            	
000022D8	libc.so.6:__nptl_death_event+425	mov     large gs:4FEh, al       	                                        	
000022D8	libc.so.6:__nptl_death_event+42B	cmp     eax, 1                  	CF=1 PF=1                               	
000022D8	libc.so.6:__nptl_death_event+42E	jz      short near ptr unk_F7D7B178	                                        	
000022D8	libc.so.6:__nptl_death_event+430	retn                            	ESP=FF9AACC0                            	
000022D8	libc.so.6:psiginfo+B94  	mov     eax, [ebp-448h]         	EAX=FF9AAEC0                            	
000022D8	libc.so.6:psiginfo+B9A  	add     esp, 10h                	ESP=FF9AACD0 CF=0 PF=0 AF=0             	
000022D8	libc.so.6:psiginfo+B9D  	cmp     eax, [ebp-5FCh]         	PF=1 ZF=1 SF=0                          	
000022D8	libc.so.6:psiginfo+BA3  	jz      short loc_F7D51A17      	                                        	
000022D8	libc.so.6:loc_F7D51A17  	cmp     dword ptr [ebp-5D0h], 0FFFFFFFFh	CF=1 PF=0 AF=1 ZF=0                     	
000022D8	libc.so.6:psiginfo+BBE  	jz      loc_F7D523D8            	                                        	
000022D8	libc.so.6:psiginfo+BC4  	mov     esi, [ebp-5DCh]         	                                        	
000022D8	libc.so.6:psiginfo+BCA  	test    esi, esi                	CF=0 PF=1 AF=0 ZF=1                     	
000022D8	libc.so.6:psiginfo+BCC  	jnz     loc_F7D5242C            	                                        	
000022D8	libc.so.6:loc_F7D51A32  	mov     eax, [ebp-1Ch]          	EAX=93B3F800                            	
000022D8	libc.so.6:psiginfo+BD5  	sub     eax, large gs:14h       	EAX=00000000                            	
000022D8	libc.so.6:psiginfo+BDC  	jnz     loc_F7D57DF7            	                                        	
000022D8	libc.so.6:psiginfo+BE2  	mov     eax, [ebp-5D0h]         	EAX=00000001                            	
000022D8	libc.so.6:psiginfo+BE8  	lea     esp, [ebp-0Ch]          	ESP=FF9AB2EC                            	
000022D8	libc.so.6:psiginfo+BEB  	pop     ebx                     	EBX=00000000 ESP=FF9AB2F0               	
000022D8	libc.so.6:psiginfo+BEC  	pop     esi                     	ESI=FF9AB444 ESP=FF9AB2F4               	
000022D8	libc.so.6:psiginfo+BED  	pop     edi                     	EDI=FF9AB360 ESP=FF9AB2F8               	
000022D8	libc.so.6:psiginfo+BEE  	pop     ebp                     	EBP=FF9AB378 ESP=FF9AB2FC               	
000022D8	libc.so.6:psiginfo+BEF  	retn                            	ESP=FF9AB300                            	
000022D8	libc.so.6:__isoc99_scanf+29	add     esp, 1Ch                	ESP=FF9AB31C PF=0 ZF=0 SF=1             	
000022D8	libc.so.6:__isoc99_scanf+2C	retn                            	ESP=FF9AB320                            	
000022D8	.text:08048468          	add     esp, 10h                	ESP=FF9AB330 PF=1                       	
000022D8	.text:0804846B          	sub     esp, 8                  	ESP=FF9AB328 AF=1                       	
000022D8	.text:0804846E          	push    offset unk_80499EC      	ESP=FF9AB324                            	
000022D8	.text:08048473          	lea     eax, [ebp-39h]          	EAX=FF9AB33F                            	
000022D8	.text:08048476          	push    eax                     	ESP=FF9AB320                            	
000022D8	.text:08048477          	call    loc_804848F             	ESP=FF9AB31C                            	
000022D8	.text:loc_804848F       	push    ebp                     	ESP=FF9AB318                            	
000022D8	.text:loc_804848F+1     	mov     ebp, esp                	EBP=FF9AB318                            	
000022D8	.text:loc_804848F+3     	push    edi                     	ESP=FF9AB314                            	
000022D8	.text:loc_804848F+4     	push    esi                     	ESP=FF9AB310                            	
000022D8	.text:08048494          	push    ebx                     	ESP=FF9AB30C                            	
000022D8	.text:08048495          	sub     esp, 1Ch                	ESP=FF9AB2F0 AF=0                       	
000022D8	.text:08048498          	mov     dword ptr [ebp-1Ch], 0  	                                        	
000022D8	.text:0804849F          	push    eax                     	ESP=FF9AB2EC                            	
000022D8	.text:080484A0          	push    ebx                     	ESP=FF9AB2E8                            	
000022D8	.text:080484A1          	push    esp                     	ESP=FF9AB2E4                            	
000022D8	.text:080484A2          	jmp     short loc_80484B7       	                                        	
000022D8	.text:loc_80484B7       	mov     ebx, esp                	EBX=FF9AB2E4                            	
000022D8	.text:080484B9          	pop     esp                     	ESP=FF9AB2E8                            	
000022D8	.text:080484BA          	pop     ebx                     	EBX=00000000 ESP=FF9AB2EC               	
000022D8	.text:080484BB          	pop     eax                     	ESP=FF9AB2F0                            	
000022D8	.text:080484BC          	jmp     short loc_804853C       	                                        	
000022D8	.text:loc_804853C       	mov     edx, [ebp-1Ch]          	                                        	
000022D8	.text:0804853F          	mov     eax, [ebp+8]            	                                        	
000022D8	.text:08048542          	add     eax, edx                	                                        	
000022D8	.text:08048544          	movzx   eax, byte ptr [eax]     	EAX=00000031                            	
000022D8	.text:08048547          	test    al, al                  	PF=0 SF=0                               	
000022D8	.text:08048549          	jnz     loc_80484BE             	                                        	
000022D8	.text:loc_80484BE       	jb      short near ptr loc_80484C2+1	                                        	
000022D8	.text:080484C0          	jnb     short near ptr loc_80484C2+1	                                        	
000022D8	.text:loc_80484C2+1     	mov     edx, [ebp-1Ch]          	                                        	
000022D8	.text:loc_80484C2+4     	mov     eax, [ebp+8]            	EAX=FF9AB33F                            	
000022D8	.text:080484C9          	lea     ebx, [edx+eax]          	EBX=FF9AB33F                            	
000022D8	.text:080484CC          	mov     edx, [ebp-1Ch]          	                                        	
000022D8	.text:080484CF          	mov     eax, [ebp+8]; DMA page register 74LS612:	                                        	
000022D8	.text:080484D2          	add     eax, edx                	PF=1 SF=1                               	
000022D8	.text:080484D4          	movzx   eax, byte ptr [eax]     	EAX=00000031                            	
000022D8	.text:080484D7          	movzx   esi, al                 	ESI=00000031                            	
000022D8	.text:080484DA          	mov     eax, [ebp-1Ch]          	EAX=00000000                            	
000022D8	.text:080484DD          	cdq                             	                                        	
000022D8	.text:080484DE          	shr     edx, 1Dh                	AF=1 ZF=1 SF=0                          	
000022D8	.text:080484E1          	add     eax, edx                	AF=0                                    	
000022D8	.text:080484E3          	and     eax, 7                  	                                        	
000022D8	.text:080484E6          	sub     eax, edx                	                                        	
000022D8	.text:080484E8          	mov     ecx, eax                	ECX=00000000                            	
000022D8	.text:080484EA          	sar     esi, cl                 	                                        	
000022D8	.text:080484EC          	mov     eax, esi                	EAX=00000031                            	
000022D8	.text:080484EE          	mov     edi, eax                	EDI=00000031                            	
000022D8	.text:080484F0          	mov     edx, [ebp-1Ch]          	                                        	
000022D8	.text:080484F3          	mov     eax, [ebp+8]            	EAX=FF9AB33F                            	
000022D8	.text:080484F6          	add     eax, edx                	ZF=0 SF=1                               	
000022D8	.text:080484F8          	movzx   eax, byte ptr [eax]     	EAX=00000031                            	
000022D8	.text:080484FB          	movzx   esi, al                 	                                        	
000022D8	.text:080484FE          	mov     eax, [ebp-1Ch]          	EAX=00000000                            	
000022D8	.text:08048501          	cdq                             	                                        	
000022D8	.text:loc_8048502       	shr     edx, 1Dh                	AF=1 ZF=1 SF=0                          	
000022D8	.text:08048505          	add     eax, edx                	AF=0                                    	
000022D8	.text:08048507          	and     eax, 7                  	                                        	
000022D8	.text:0804850A          	sub     eax, edx                	                                        	
000022D8	.text:0804850C          	mov     edx, 8                  	EDX=00000008                            	
000022D8	.text:08048511          	sub     edx, eax                	PF=0 ZF=0                               	
000022D8	.text:08048513          	mov     eax, edx                	EAX=00000008                            	
000022D8	.text:08048515          	mov     ecx, eax                	ECX=00000008                            	
000022D8	.text:08048517          	shl     esi, cl                 	ESI=00003100 PF=1 AF=1                  	
000022D8	.text:08048519          	mov     eax, esi                	EAX=00003100                            	
000022D8	.text:0804851B          	mov     edx, edi                	EDX=00000031                            	
000022D8	.text:0804851D          	or      edx, eax                	EDX=00003131 PF=0 AF=0                  	
000022D8	.text:0804851F          	mov     eax, [ebp-1Ch]          	EAX=00000000                            	
000022D8	.text:08048522          	xor     eax, edx                	EAX=00003131                            	
000022D8	.text:08048524          	mov     [ebx], al               	                                        	
000022D8	.text:08048526          	add     dword ptr [ebp-1Ch], 1  	                                        	
000022D8	.text:0804852A          	jb      short loc_804853C       	                                        	
000022D8	.text:0804852C          	jnb     short loc_804853C       	                                        	
000022D8	.text:loc_804853C       	mov     edx, [ebp-1Ch]          	EDX=00000001                            	
000022D8	.text:0804853F          	mov     eax, [ebp+8]            	EAX=FF9AB33F                            	
000022D8	.text:08048542          	add     eax, edx                	EAX=FF9AB340 AF=1 SF=1                  	
000022D8	.text:08048544          	movzx   eax, byte ptr [eax]     	EAX=00000031                            	
000022D8	.text:08048547          	test    al, al                  	AF=0 SF=0                               	
000022D8	.text:08048549          	jnz     loc_80484BE             	                                        	
000022D8	.text:loc_80484BE       	jb      short near ptr loc_80484C2+1	                                        	
000022D8	.text:080484C0          	jnb     short near ptr loc_80484C2+1	                                        	
000022D8	.text:loc_80484C2+1     	mov     edx, [ebp-1Ch]          	                                        	
000022D8	.text:loc_80484C2+4     	mov     eax, [ebp+8]            	EAX=FF9AB33F                            	
000022D8	.text:080484C9          	lea     ebx, [edx+eax]          	EBX=FF9AB340                            	
000022D8	.text:080484CC          	mov     edx, [ebp-1Ch]          	                                        	
000022D8	.text:080484CF          	mov     eax, [ebp+8]; DMA page register 74LS612:	                                        	
000022D8	.text:080484D2          	add     eax, edx                	EAX=FF9AB340 AF=1 SF=1                  	
000022D8	.text:080484D4          	movzx   eax, byte ptr [eax]     	EAX=00000031                            	
000022D8	.text:080484D7          	movzx   esi, al                 	ESI=00000031                            	
000022D8	.text:080484DA          	mov     eax, [ebp-1Ch]          	EAX=00000001                            	
000022D8	.text:080484DD          	cdq                             	EDX=00000000                            	
000022D8	.text:080484DE          	shr     edx, 1Dh                	PF=1 ZF=1 SF=0                          	
000022D8	.text:080484E1          	add     eax, edx                	PF=0 AF=0 ZF=0                          	
000022D8	.text:080484E3          	and     eax, 7                  	                                        	
000022D8	.text:080484E6          	sub     eax, edx                	                                        	
000022D8	.text:080484E8          	mov     ecx, eax                	ECX=00000001                            	
000022D8	.text:080484EA          	sar     esi, cl                 	ESI=00000018 CF=1 PF=1 AF=1             	
000022D8	.text:080484EC          	mov     eax, esi                	EAX=00000018                            	
000022D8	.text:080484EE          	mov     edi, eax                	EDI=00000018                            	
000022D8	.text:080484F0          	mov     edx, [ebp-1Ch]          	EDX=00000001                            	
000022D8	.text:080484F3          	mov     eax, [ebp+8]            	EAX=FF9AB33F                            	
000022D8	.text:080484F6          	add     eax, edx                	EAX=FF9AB340 CF=0 PF=0 SF=1             	
000022D8	.text:080484F8          	movzx   eax, byte ptr [eax]     	EAX=00000031                            	
000022D8	.text:080484FB          	movzx   esi, al                 	ESI=00000031                            	
000022D8	.text:080484FE          	mov     eax, [ebp-1Ch]          	EAX=00000001                            	
000022D8	.text:08048501          	cdq                             	EDX=00000000                            	
000022D8	.text:loc_8048502       	shr     edx, 1Dh                	PF=1 ZF=1 SF=0                          	
000022D8	.text:08048505          	add     eax, edx                	PF=0 AF=0 ZF=0                          	
000022D8	.text:08048507          	and     eax, 7                  	                                        	
000022D8	.text:0804850A          	sub     eax, edx                	                                        	
000022D8	.text:0804850C          	mov     edx, 8                  	EDX=00000008                            	
000022D8	.text:08048511          	sub     edx, eax                	EDX=00000007                            	
000022D8	.text:08048513          	mov     eax, edx                	EAX=00000007                            	
000022D8	.text:08048515          	mov     ecx, eax                	ECX=00000007                            	
000022D8	.text:08048517          	shl     esi, cl                 	ESI=00001880 AF=1                       	
000022D8	.text:08048519          	mov     eax, esi                	EAX=00001880                            	
000022D8	.text:0804851B          	mov     edx, edi                	EDX=00000018                            	
000022D8	.text:0804851D          	or      edx, eax                	EDX=00001898 AF=0                       	
000022D8	.text:0804851F          	mov     eax, [ebp-1Ch]          	EAX=00000001                            	
000022D8	.text:08048522          	xor     eax, edx                	EAX=00001899 PF=1                       	
000022D8	.text:08048524          	mov     [ebx], al               	                                        	
000022D8	.text:08048526          	add     dword ptr [ebp-1Ch], 1  	PF=0                                    	
000022D8	.text:0804852A          	jb      short loc_804853C       	                                        	
000022D8	.text:0804852C          	jnb     short loc_804853C       	                                        	
000022D8	.text:loc_804853C       	mov     edx, [ebp-1Ch]          	EDX=00000002                            	
000022D8	.text:0804853F          	mov     eax, [ebp+8]            	EAX=FF9AB33F                            	
000022D8	.text:08048542          	add     eax, edx                	EAX=FF9AB341 PF=1 AF=1 SF=1             	
000022D8	.text:08048544          	movzx   eax, byte ptr [eax]     	EAX=00000031                            	
000022D8	.text:08048547          	test    al, al                  	PF=0 AF=0 SF=0                          	
000022D8	.text:08048549          	jnz     loc_80484BE             	                                        	
000022D8	.text:loc_80484BE       	jb      short near ptr loc_80484C2+1	                                        	
000022D8	.text:080484C0          	jnb     short near ptr loc_80484C2+1	                                        	
000022D8	.text:loc_80484C2+1     	mov     edx, [ebp-1Ch]          	                                        	
000022D8	.text:loc_80484C2+4     	mov     eax, [ebp+8]            	EAX=FF9AB33F                            	
000022D8	.text:080484C9          	lea     ebx, [edx+eax]          	EBX=FF9AB341                            	
000022D8	.text:080484CC          	mov     edx, [ebp-1Ch]          	                                        	
000022D8	.text:080484CF          	mov     eax, [ebp+8]; DMA page register 74LS612:	                                        	
000022D8	.text:080484D2          	add     eax, edx                	EAX=FF9AB341 PF=1 AF=1 SF=1             	
000022D8	.text:080484D4          	movzx   eax, byte ptr [eax]     	EAX=00000031                            	
000022D8	.text:080484D7          	movzx   esi, al                 	ESI=00000031                            	
000022D8	.text:080484DA          	mov     eax, [ebp-1Ch]          	EAX=00000002                            	
000022D8	.text:080484DD          	cdq                             	EDX=00000000                            	
000022D8	.text:080484DE          	shr     edx, 1Dh                	ZF=1 SF=0                               	
000022D8	.text:080484E1          	add     eax, edx                	PF=0 AF=0 ZF=0                          	
000022D8	.text:080484E3          	and     eax, 7                  	                                        	
000022D8	.text:080484E6          	sub     eax, edx                	                                        	
000022D8	.text:080484E8          	mov     ecx, eax                	ECX=00000002                            	
000022D8	.text:080484EA          	sar     esi, cl                 	ESI=0000000C PF=1 AF=1                  	
000022D8	.text:080484EC          	mov     eax, esi                	EAX=0000000C                            	
000022D8	.text:080484EE          	mov     edi, eax                	EDI=0000000C                            	
000022D8	.text:080484F0          	mov     edx, [ebp-1Ch]          	EDX=00000002                            	
000022D8	.text:080484F3          	mov     eax, [ebp+8]            	EAX=FF9AB33F                            	
000022D8	.text:080484F6          	add     eax, edx                	EAX=FF9AB341 SF=1                       	
000022D8	.text:080484F8          	movzx   eax, byte ptr [eax]     	EAX=00000031                            	
000022D8	.text:080484FB          	movzx   esi, al                 	ESI=00000031                            	
000022D8	.text:080484FE          	mov     eax, [ebp-1Ch]          	EAX=00000002                            	
000022D8	.text:08048501          	cdq                             	EDX=00000000                            	
000022D8	.text:loc_8048502       	shr     edx, 1Dh                	ZF=1 SF=0                               	
000022D8	.text:08048505          	add     eax, edx                	PF=0 AF=0 ZF=0                          	
000022D8	.text:08048507          	and     eax, 7                  	                                        	
000022D8	.text:0804850A          	sub     eax, edx                	                                        	
000022D8	.text:0804850C          	mov     edx, 8                  	EDX=00000008                            	
000022D8	.text:08048511          	sub     edx, eax                	EDX=00000006 PF=1                       	
000022D8	.text:08048513          	mov     eax, edx                	EAX=00000006                            	
000022D8	.text:08048515          	mov     ecx, eax                	ECX=00000006                            	
000022D8	.text:08048517          	shl     esi, cl                 	ESI=00000C40 PF=0 AF=1                  	
000022D8	.text:08048519          	mov     eax, esi                	EAX=00000C40                            	
000022D8	.text:0804851B          	mov     edx, edi                	EDX=0000000C                            	
000022D8	.text:0804851D          	or      edx, eax                	EDX=00000C4C AF=0                       	
000022D8	.text:0804851F          	mov     eax, [ebp-1Ch]          	EAX=00000002                            	
000022D8	.text:08048522          	xor     eax, edx                	EAX=00000C4E PF=1                       	
000022D8	.text:08048524          	mov     [ebx], al               	                                        	
000022D8	.text:08048526          	add     dword ptr [ebp-1Ch], 1  	                                        	
000022D8	.text:0804852A          	jb      short loc_804853C       	                                        	
000022D8	.text:0804852C          	jnb     short loc_804853C       	                                        	
000022D8	.text:loc_804853C       	mov     edx, [ebp-1Ch]          	EDX=00000003                            	
000022D8	.text:0804853F          	mov     eax, [ebp+8]            	EAX=FF9AB33F                            	
000022D8	.text:08048542          	add     eax, edx                	EAX=FF9AB342 AF=1 SF=1                  	
000022D8	.text:08048544          	movzx   eax, byte ptr [eax]     	EAX=00000000                            	
000022D8	.text:08048547          	test    al, al                  	AF=0 ZF=1 SF=0                          	
000022D8	.text:08048549          	jnz     loc_80484BE             	                                        	
000022D8	.text:0804854F          	jz      short loc_804855E       	                                        	
000022D8	.text:loc_804855E       	push    ebp                     	ESP=FF9AB2EC                            	
000022D8	.text:0804855F          	push    edi                     	ESP=FF9AB2E8                            	
000022D8	.text:08048560          	mov     ebp, edi                	EBP=0000000C                            	
000022D8	.text:08048562          	sub     ebp, 1E0F3h             	EBP=FFFE1F19 CF=1 PF=0 ZF=0 SF=1        	
000022D8	.text:08048568          	pop     edi                     	ESP=FF9AB2EC                            	
000022D8	.text:08048569          	pop     ebp                     	EBP=FF9AB318 ESP=FF9AB2F0               	
000022D8	.text:0804856A          	sub     esp, 8                  	ESP=FF9AB2E8 CF=0 PF=1 AF=1             	
000022D8	.text:0804856D          	push    dword ptr [ebp+0Ch]     	ESP=FF9AB2E4                            	
000022D8	.text:08048570          	push    dword ptr [ebp+8]       	ESP=FF9AB2E0                            	
000022D8	.text:08048573          	call    loc_8048583             	ESP=FF9AB2DC                            	
000022D8	.text:loc_8048583       	push    ebp                     	ESP=FF9AB2D8                            	
000022D8	.text:08048584          	mov     ebp, esp                	EBP=FF9AB2D8                            	
000022D8	.text:08048586          	push    ebx                     	ESP=FF9AB2D4                            	
000022D8	.text:08048587          	sub     esp, 40h                	ESP=FF9AB294 PF=0 AF=0                  	
000022D8	.text:0804858A          	mov     ecx, 0                  	ECX=00000000                            	
000022D8	.text:0804858F          	mov     eax, 20h ; ' '          	EAX=00000020                            	
000022D8	.text:08048594          	and     eax, 0FFFFFFFCh         	SF=0                                    	
000022D8	.text:08048597          	mov     edx, eax                	EDX=00000020                            	
000022D8	.text:08048599          	mov     eax, 0                  	EAX=00000000                            	
000022D8	.text:loc_804859E       	mov     [ebp+eax-2Ch], ecx      	                                        	
000022D8	.text:080485A2          	add     eax, 4                  	EAX=00000004                            	
000022D8	.text:080485A5          	cmp     eax, edx                	CF=1 PF=1 SF=1                          	
000022D8	.text:080485A7          	jb      short loc_804859E       	                                        	
000022D8	.text:loc_804859E       	mov     [ebp+eax-2Ch], ecx      	                                        	
000022D8	.text:080485A2          	add     eax, 4                  	EAX=00000008 CF=0 PF=0 SF=0             	
000022D8	.text:080485A5          	cmp     eax, edx                	CF=1 PF=1 SF=1                          	
000022D8	.text:080485A7          	jb      short loc_804859E       	                                        	
000022D8	.text:loc_804859E       	mov     [ebp+eax-2Ch], ecx      	                                        	
000022D8	.text:080485A2          	add     eax, 4                  	EAX=0000000C CF=0 SF=0                  	
000022D8	.text:080485A5          	cmp     eax, edx                	CF=1 PF=0 SF=1                          	
000022D8	.text:080485A7          	jb      short loc_804859E       	                                        	
000022D8	.text:loc_804859E       	mov     [ebp+eax-2Ch], ecx      	                                        	
000022D8	.text:080485A2          	add     eax, 4                  	EAX=00000010 CF=0 AF=1 SF=0             	
000022D8	.text:080485A5          	cmp     eax, edx                	CF=1 PF=1 AF=0 SF=1                     	
000022D8	.text:080485A7          	jb      short loc_804859E       	                                        	
000022D8	.text:loc_804859E       	mov     [ebp+eax-2Ch], ecx      	                                        	
000022D8	.text:080485A2          	add     eax, 4                  	EAX=00000014 CF=0 SF=0                  	
000022D8	.text:080485A5          	cmp     eax, edx                	CF=1 PF=0 SF=1                          	
000022D8	.text:080485A7          	jb      short loc_804859E       	                                        	
000022D8	.text:loc_804859E       	mov     [ebp+eax-2Ch], ecx      	                                        	
000022D8	.text:080485A2          	add     eax, 4                  	EAX=00000018 CF=0 PF=1 SF=0             	
000022D8	.text:080485A5          	cmp     eax, edx                	CF=1 PF=0 SF=1                          	
000022D8	.text:080485A7          	jb      short loc_804859E       	                                        	
000022D8	.text:loc_804859E       	mov     [ebp+eax-2Ch], ecx      	                                        	
000022D8	.text:080485A2          	add     eax, 4                  	EAX=0000001C CF=0 SF=0                  	
000022D8	.text:080485A5          	cmp     eax, edx                	CF=1 PF=1 SF=1                          	
000022D8	.text:080485A7          	jb      short loc_804859E       	                                        	
000022D8	.text:loc_804859E       	mov     [ebp+eax-2Ch], ecx      	                                        	
000022D8	.text:080485A2          	add     eax, 4                  	EAX=00000020 CF=0 PF=0 AF=1 SF=0        	
000022D8	.text:080485A5          	cmp     eax, edx                	PF=1 AF=0 ZF=1                          	
000022D8	.text:080485A7          	jb      short loc_804859E       	                                        	
000022D8	.text:080485A9          	mov     dword ptr [ebp-8], 0    	                                        	
000022D8	.text:080485B0          	mov     dword ptr [ebp-0Ch], 0  	                                        	
000022D8	.text:080485B7          	mov     byte ptr [ebp-32h], 65h ; 'e'	                                        	
000022D8	.text:080485BB          	mov     byte ptr [ebp-31h], 72h ; 'r'	                                        	
000022D8	.text:080485BF          	mov     byte ptr [ebp-30h], 72h ; 'r'	                                        	
000022D8	.text:080485C3          	mov     byte ptr [ebp-2Fh], 6Fh ; 'o'	                                        	
000022D8	.text:080485C7          	mov     byte ptr [ebp-2Eh], 72h ; 'r'	                                        	
000022D8	.text:080485CB          	mov     byte ptr [ebp-2Dh], 0Ah 	                                        	
000022D8	.text:080485CF          	mov     byte ptr [ebp-38h], 72h ; 'r'	                                        	
000022D8	.text:080485D3          	mov     byte ptr [ebp-37h], 69h ; 'i'	                                        	
000022D8	.text:080485D7          	mov     byte ptr [ebp-36h], 67h ; 'g'	                                        	
000022D8	.text:080485DB          	mov     byte ptr [ebp-35h], 68h ; 'h'	                                        	
000022D8	.text:080485DF          	mov     byte ptr [ebp-34h], 74h ; 't'	                                        	
000022D8	.text:080485E3          	mov     byte ptr [ebp-33h], 0Ah 	                                        	
000022D8	.text:080485E7          	push    ebp                     	ESP=FF9AB290                            	
000022D8	.text:080485E8          	push    esp                     	ESP=FF9AB28C                            	
000022D8	.text:080485E9          	jmp     short loc_80485F5       	                                        	
000022D8	.text:loc_80485F5       	pop     esp                     	ESP=FF9AB290                            	
000022D8	.text:080485F6          	pop     ebp                     	ESP=FF9AB294                            	
000022D8	.text:080485F7          	jmp     short loc_804861C       	                                        	
000022D8	.text:loc_804861C       	mov     edx, [ebp-8]            	EDX=00000000                            	
000022D8	.text:0804861F          	mov     eax, [ebp+0Ch]          	EAX=080499EC                            	
000022D8	.text:08048622          	add     eax, edx                	PF=0 ZF=0                               	
000022D8	.text:08048624          	movzx   eax, byte ptr [eax]     	EAX=00000073                            	
000022D8	.text:08048627          	test    al, al                  	                                        	
000022D8	.text:08048629          	jnz     short loc_80485F9       	                                        	
000022D8	.text:loc_80485F9       	mov     edx, [ebp-8]            	                                        	
000022D8	.text:080485FC          	mov     eax, [ebp+0Ch]          	EAX=080499EC                            	
000022D8	.text:080485FF          	add     eax, edx                	                                        	
000022D8	.text:08048601          	movzx   eax, byte ptr [eax]     	EAX=00000073                            	
000022D8	.text:08048604          	xor     eax, 20h                	EAX=00000053 PF=1                       	
000022D8	.text:08048607          	mov     ecx, eax                	ECX=00000053                            	
000022D8	.text:08048609          	lea     edx, [ebp-2Ch]          	EDX=FF9AB2AC                            	
000022D8	.text:0804860C          	mov     eax, [ebp-8]            	EAX=00000000                            	
000022D8	.text:0804860F          	add     eax, edx                	EAX=FF9AB2AC SF=1                       	
000022D8	.text:08048611          	mov     [eax], cl               	                                        	
000022D8	.text:08048613          	add     dword ptr [ebp-8], 1    	PF=0 SF=0                               	
000022D8	.text:08048617          	jb      short loc_804861C       	                                        	
000022D8	.text:08048619          	jnb     short loc_804861C       	                                        	
000022D8	.text:loc_804861C       	mov     edx, [ebp-8]            	EDX=00000001                            	
000022D8	.text:0804861F          	mov     eax, [ebp+0Ch]          	EAX=080499EC                            	
000022D8	.text:08048622          	add     eax, edx                	EAX=080499ED PF=1                       	
000022D8	.text:08048624          	movzx   eax, byte ptr [eax]     	EAX=0000008D                            	
000022D8	.text:08048627          	test    al, al                  	SF=1                                    	
000022D8	.text:08048629          	jnz     short loc_80485F9       	                                        	
000022D8	.text:loc_80485F9       	mov     edx, [ebp-8]            	                                        	
000022D8	.text:080485FC          	mov     eax, [ebp+0Ch]          	EAX=080499EC                            	
000022D8	.text:080485FF          	add     eax, edx                	EAX=080499ED SF=0                       	
000022D8	.text:08048601          	movzx   eax, byte ptr [eax]     	EAX=0000008D                            	
000022D8	.text:08048604          	xor     eax, 20h                	EAX=000000AD PF=0                       	
000022D8	.text:08048607          	mov     ecx, eax                	ECX=000000AD                            	
000022D8	.text:08048609          	lea     edx, [ebp-2Ch]          	EDX=FF9AB2AC                            	
000022D8	.text:0804860C          	mov     eax, [ebp-8]            	EAX=00000001                            	
000022D8	.text:0804860F          	add     eax, edx                	EAX=FF9AB2AD SF=1                       	
000022D8	.text:08048611          	mov     [eax], cl               	                                        	
000022D8	.text:08048613          	add     dword ptr [ebp-8], 1    	SF=0                                    	
000022D8	.text:08048617          	jb      short loc_804861C       	                                        	
