Thread  	Address                 	Instruction                     	Result                                  	
000022D8	libc.so.6:psiginfo+1033 	movzx   ebx, byte ptr [ebp-5B0h]	EBX=00000073                            	
000022D8	libc.so.6:psiginfo+103A 	mov     [ecx+edx], edi          	                                        	
000022D8	libc.so.6:psiginfo+103D 	cmp     eax, 0FFFFFFFFh         	CF=1 PF=0 AF=1 ZF=0                     	
000022D8	libc.so.6:psiginfo+1040 	jz      loc_F7D5246E            	                                        	
000022D8	libc.so.6:psiginfo+1046 	sub     esp, 8                  	ESP=FF9AACC8 CF=0 SF=1                  	
000022D8	libc.so.6:psiginfo+1049 	movzx   eax, al                 	                                        	
000022D8	libc.so.6:psiginfo+104C 	sub     esi, 1                  	ESI=00000000 PF=1 AF=0 ZF=1 SF=0        	
000022D8	libc.so.6:psiginfo+104F 	push    eax                     	ESP=FF9AACC4                            	
000022D8	libc.so.6:psiginfo+1050 	push    dword ptr [ebp-5C0h]    	ESP=FF9AACC0                            	
000022D8	libc.so.6:psiginfo+1056 	call    near ptr _IO_sputbackc  	ESP=FF9AACBC                            	
000022D8	libc.so.6:_IO_sputbackc 	endbr32                         	                                        	
000022D8	libc.so.6:_IO_sputbackc+4	call    near ptr unk_F7E69E3D   	ESP=FF9AACB8                            	
000022D8	libc.so.6:unk_F7E69E3D  	mov     edx, [esp]              	EDX=F7D781D9                            	
000022D8	libc.so.6:__frame_state_for+3A0	retn                            	ESP=FF9AACBC                            	
000022D8	libc.so.6:_IO_sputbackc+9	add     edx, 1A9E27h            	EDX=F7F22000 AF=1 ZF=0 SF=1             	
000022D8	libc.so.6:_IO_sputbackc+F	push    edi                     	ESP=FF9AACB8                            	
000022D8	libc.so.6:_IO_sputbackc+10	push    esi                     	ESP=FF9AACB4                            	
000022D8	libc.so.6:_IO_sputbackc+11	push    ebx                     	ESP=FF9AACB0                            	
000022D8	libc.so.6:_IO_sputbackc+12	mov     esi, [esp+10h]          	ESI=F7F22620                            	
000022D8	libc.so.6:_IO_sputbackc+16	mov     ebx, [esp+14h]          	EBX=00000031                            	
000022D8	libc.so.6:_IO_sputbackc+1A	mov     eax, [esi+4]            	EAX=099F51A1                            	
000022D8	libc.so.6:_IO_sputbackc+1D	cmp     eax, [esi+0Ch]          	PF=0 AF=0 SF=0                          	
000022D8	libc.so.6:_IO_sputbackc+20	jbe     short near ptr unk_F7D781F7	                                        	
000022D8	libc.so.6:_IO_sputbackc+22	cmp     [eax-1], bl             	PF=1 ZF=1                               	
000022D8	libc.so.6:_IO_sputbackc+25	jz      short near ptr unk_F7D78230	                                        	
000022D8	libc.so.6:unk_F7D78230  	sub     eax, 1                  	EAX=099F51A0 ZF=0                       	
000022D8	libc.so.6:_IO_sputbackc+63	mov     [esi+4], eax            	                                        	
000022D8	libc.so.6:_IO_sputbackc+66	movzx   eax, bl                 	EAX=00000031                            	
000022D8	libc.so.6:_IO_sputbackc+69	jmp     short near ptr unk_F7D78228	                                        	
000022D8	libc.so.6:unk_F7D78228  	and     dword ptr [esi], 0FFFFFFEFh	SF=1                                    	
